scenario,n,q,s,circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
S2,256,2,1,VoteProofCombined,3.692,9.331,24.104,6.195,0.805,0.007116,28.601,15.533,10433
S2,256,2,1,TallyValidity,0.473,4.281,14.963,5.417,0.835,0.006742,16.271,9.704,10241
S3,5000,2,1,VoteProofCombined,4.106,10.064,26.486,6.769,0.84,0.007118,31.432,16.84,11643
S3,5000,2,1,TallyValidity,0.471,4.281,15.446,5.417,0.788,0.006743,16.704,9.704,10241
S4,10000,2,1,VoteProofCombined,3.982,10.211,27.083,6.883,0.832,0.007116,31.897,17.101,11885
S4,10000,2,1,TallyValidity,0.493,4.281,14.784,5.417,0.782,0.006742,16.058,9.704,10241
S5,1000,4,1,VoteProofCombined,4.694,14.354,32.697,11.101,0.828,0.007118,38.219,25.462,18161
S5,1000,4,1,TallyValidity,0.875,8.529,24.707,10.831,0.823,0.006744,26.406,19.366,20481
S6,1000,8,1,VoteProofCombined,6.118,23.893,40.521,18.454,0.807,0.007117,47.446,42.354,32649
S6,1000,8,1,TallyValidity,1.543,17.053,38.915,21.659,0.812,0.006743,41.27,38.719,40961
S7,1000,10,2,VoteProofCombined,6.963,28.662,52.481,24.131,0.814,0.007114,60.258,52.8,39893
S7,1000,10,2,TallyValidity,1.927,21.332,41.992,26.073,0.978,0.006742,44.897,47.412,51201
